STABR,POPU_LSA,F_POPLSA,POPU_UND,POPU_ST,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,F_BKVOL,EBOOK,F_EBOOK,AUDIO_PH,F_AUD_PH,AUDIO_DL,F_AUD_DL,VIDEO_PH,F_VID_PH,VIDEO_DL,F_VID_DL,EC_LO_OT,F_EC_L_O,EC_ST,F_EC_ST,ELECCOLL,F_ELECOL,SUBSCRIP,F_PRSUB,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,REFERENC,F_REFER,REGBOR,F_REGBOR,TOTCIR,F_TOTCIR,KIDCIRCL,F_KIDCIR,ELMATCIR,F_EMTCIR,PHYSCIR,F_PHYSCR,ELINFO,F_ELINFO,ELCONT,F_ELCONT,TOTCOLL,F_TOTCOL,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,KIDPRO,F_KIDPRO,YAPRO,F_YAPRO,TOTATTEN,F_TOTATT,KIDATTEN,F_KIDATT,YAATTEN,F_YAATT,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,WIFISESS,F_WIFISS,WEBVISIT,STARTDAT,ENDDATE,INCITSST,YR_SUB,OBEREG
HI,1427538,R_18,1427538,1427538,1,R_18,50,R_18,2,R_18,174,R_18,177,R_18,384.5,R_18,561.5,R_18,0,R_18,35961873,R_18,794628,R_18,2473290,R_18,39229791,R_18,24788714,R_18,183803,R_18,24972517,R_18,2928517,R_18,1166513,R_18,58456,R_18,4153486,R_18,9108811,R_18,38234814,R_18,0,R_18,7165000,R_18,0,R_18,0,R_18,7165000,R_18,4852571,R_18,2904696,R_18,93179,R_18,170336,R_18,28547,R_18,171305,R_18,0,R_18,0,R_18,112,R_18,112,R_18,2615,R_18,95835,R_18,3456131,R_18,480266,R_18,956444,R_18,5808328,R_18,2326520,R_18,783900,R_18,5024428,R_18,33039516,R_18,33823416,R_18,38847844,R_18,256,R_18,32,R_18,11893,R_18,8367,R_18,1605,R_18,283451,R_18,214226,R_18,36127,R_18,596,R_18,835500,R_18,332282,R_18,1127693,07/01/2017,06/30/2018,15,2018,08
IA,3096822,R_18,3065276,3156145,544,R_18,24,R_18,4,R_18,307.6,IF18,1009.62,IF18,766.87,IF18,1776.49,IF18,123270219,IF18,2492966,IF18,47662,IF18,9781259,IF18,135592106,IF18,67424241,IF18,22069717,IF18,89493958,IF18,9510943,IF18,3080566,IF18,2902962,IF18,15494471,IF18,24512806,IF18,129501235,IF18,8393110,IF18,989188,IF18,368010,IF18,5187285,IF18,14937593,IF18,12676165,IF18,11835480,IF18,20303893,IF18,653905,IF18,8624105,IF18,1163909,IF18,61002,IF18,1144,IF18,19251,IF18,20920,IF18,25213,IF18,1016299,IF18,16676677,IF18,1599365,IF18,1939599,IF18,24521420,IF18,9030002,IF18,2169456,IF18,22351964,IF18,2711961,IF18,4881417,IF18,27233381,IF18,341718,IF18,349784,IF18,99225,IF18,60810,IF18,8939,IF18,2108157,IF18,1555974,IF18,128090,IF18,5126,IF18,2661901,IF18,4763135,IF18,-1,07/01/2017,06/30/2018,19,2018,04
ID,1430095,R_18,1430095,1730069,100,R_18,49,R_18,12,R_18,115.15,R_18,233.38,R_18,599.47,R_18,832.85,R_18,54759291,R_18,2043945,R_18,94197,R_18,4752521,R_18,61649954,R_18,27792435,R_18,8974617,IF18,36767052,R_18,4025194,R_18,1802721,R_18,678915,R_18,6506830,R_18,14356453,R_18,57630335,R_18,1054980,R_18,4137,R_18,57093,R_18,155807,R_18,1272017,R_18,4556771,R_18,4208402,IF18,594463,R_18,228712,R_18,394560,R_18,372703,R_18,905,R_18,174,R_18,5304,R_18,5478,R_18,4805,R_18,287549,IF18,8180954,IF18,1251879,IF18,905445,R_18,15957722,R_18,6786498,IF18,1580815,R_18,14376907,R_18,2567662,R_18,4148477,R_18,18525384,R_18,135397,IF18,150139,IF18,38855,IF18,24994,IF18,4103,IF18,1017725,IF18,737261,IF18,61532,IF18,2048,R_18,1445007,IF18,1555818,IF18,-1,10/01/2017,09/30/2018,16,2018,07
IL,11725902,R_18,11725902,12802023,623,R_18,161,R_18,16,R_18,2203.8,IF18,3238.22,R_18,5357.82,R_18,8596.04,R_18,785489270,R_18,26590745,R_18,2275964,R_18,41811904,R_18,856167883,R_18,392537067,R_18,110932394,IF18,503469461,IF18,43247772,R_18,25866329,IF18,14087138,IF18,83201239,IF18,188327042,IF18,774997742,IF18,48477557,R_18,3306582,IF18,244191,IF18,4465572,IF18,56493902,IF18,63637233,IF18,39423902,R_18,28046304,IF18,2855989,IF18,13274327,IF18,3740123,IF18,795011,IF18,6815,IF18,8099,R_18,14914,IF18,92098,IF18,1932615,R_18,63475941,IF18,9646197,IF18,4790632,IF18,106379526,IF18,39998790,IF18,10056653,IF18,96322873,R_18,19383077,IF18,29439730,IF18,125762603,IF18,5683453,IF18,5932398,IF18,247419,IF18,140229,IF18,29589,R_18,5402864,IF18,3619265,IF18,396543,IF18,16012,R_18,10743254,IF18,29329090,IF18,-1,12/01/2016,06/30/2018,17,2018,03
IN,6207854,R_18,6100143,6483802,235,R_18,190,R_18,23,R_18,1000.15,R_18,1499.64,R_18,2916.04,IF18,4415.68,IF18,332481454,R_18,24836824,R_18,923310,R_18,22842382,IF18,381083970,IF18,156712780,IF18,51720394,IF18,208433174,IF18,23134746,IF18,14573044,IF18,7791798,IF18,45499588,IF18,85366127,IF18,339298889,IF18,36685862,IF18,1463671,IF18,6152,IF18,19001758,IF18,57157443,IF18,39098569,IF18,21346938,R_18,9472517,IF18,1377767,R_18,2220960,IF18,2234646,R_18,179584,IF18,2770,IF18,20768,R_18,23544,IF18,37107,IF18,1083066,R_18,30836051,R_18,3864562,IF18,3097402,R_18,71643342,IF18,22249263,R_18,14990122,IF18,56653220,R_18,14529561,IF18,29519683,IF18,86172903,IF18,735143,R_18,756225,R_18,149778,R_18,85016,R_18,15636,R_18,3280838,R_18,2186889,R_18,226280,R_18,8269,R_18,5160149,IF18,15408281,IF18,193435682,01/01/2018,12/31/2018,18,2018,03
KS,2510372,R_18,2510372,2913123,324,R_18,46,R_18,8,R_18,280.88,R_18,722.95,R_18,1036.62,R_18,1759.57,R_18,128740397,IF18,4177449,R_18,62538,R_18,12843849,IF18,145824233,IF18,64235622,IF18,20730838,IF18,84966460,IF18,8118961,IF18,4023906,R_18,2793911,IF18,14936778,IF18,35441199,IF18,135344437,IF18,2522279,R_18,0,R_18,0,R_18,2181788,R_18,4704067,R_18,1613034,R_18,8793941,R_18,36765582,R_18,478957,IF18,9864031,R_18,976608,IF18,29172,IF18,411,R_18,22100,R_18,22511,R_18,13002,R_18,692418,R_18,13483333,IF18,1943657,IF18,1705637,IF18,25636021,R_18,10134948,IF18,2039984,R_18,23596037,IF18,866753,IF18,2906737,IF18,26502774,IF18,800080,R_18,843434,R_18,69367,R_18,44188,R_18,9315,R_18,1423850,R_18,1020007,R_18,136406,R_18,3852,R_18,2541542,IF18,3058750,IF18,-1,01/01/2018,12/31/2018,20,2018,04
KY,4461587,R_18,4454189,4461587,120,R_18,84,R_18,73,R_18,388.03,R_18,1312.16,R_18,999.73,R_18,2311.89,R_18,183779114,R_18,5701587,R_18,238778,R_18,7958708,R_18,197678187,R_18,73561859,R_18,28380638,R_18,101942497,R_18,10381272,R_18,6519163,R_18,4123741,R_18,21024176,R_18,36316559,R_18,159283232,R_18,14175400,R_18,762500,R_18,140000,R_18,658245,R_18,15736145,R_18,36149301,R_18,8926591,R_18,15485842,R_18,530568,R_18,3721121,R_18,951872,R_18,320058,R_18,1086,R_18,6929,R_18,8015,R_18,14133,R_18,635027,R_18,17013207,R_18,3633299,R_18,2561932,R_18,29099008,R_18,9261555,R_18,3505321,R_18,25593687,R_18,5669284,R_18,9174605,R_18,34768292,R_18,47962,R_18,59168,R_18,105299,R_18,52815,R_18,10042,R_18,2625711,R_18,1275346,R_18,171207,R_18,4999,R_18,3788821,R_18,6027875,IF18,22317224,07/01/2017,06/30/2018,21,2018,05
LA,4682276,R_18,4659978,4659978,67,R_18,270,R_18,24,R_18,479.68,R_18,1259,R_18,1528.88,R_18,2787.88,R_18,243071530,R_18,4798002,R_18,305236,R_18,8098038,R_18,256272806,R_18,98977014,R_18,38873144,R_18,137850158,R_18,12022201,R_18,7385906,R_18,5472786,R_18,24880893,R_18,60257919,R_18,222988970,R_18,15317461,R_18,97109,R_18,0,R_18,915634,R_18,16330204,R_18,25650136,R_18,11589362,R_18,5364069,R_18,462866,R_18,33430862,R_18,1300491,R_18,421829,R_18,1153,R_18,3283,R_18,4436,R_18,20453,R_18,804781,R_18,16227594,R_18,4302986,R_18,2385578,R_18,21555303,R_18,4945942,R_18,4313237,IF18,17242066,R_18,9249245,R_18,13562482,R_18,30804548,R_18,77385,R_18,93406,R_18,98067,R_18,50121,R_18,14840,IF18,1903088,R_18,1169896,R_18,169475,IF18,5790,R_18,4655573,R_18,3607949,IF18,12016619,01/01/2018,12/31/2018,22,2018,05
MA,6823450,R_18,6814178,6814406,369,R_18,92,R_18,7,R_18,1329.2,IF18,1936.8,IF18,1900.76,IF18,3837.56,IF18,285328120,IF18,11249825,IF18,652831,IF18,25559337,IF18,322790113,IF18,204829396,IF18,35939845,IF18,240769241,IF18,22383886,IF18,10381328,IF18,6889619,IF18,39654833,IF18,53325152,IF18,333749226,IF18,29787559,IF18,25770154,IF18,153117,IF18,5687969,IF18,61398799,IF18,58064854,IF18,29215324,IF18,19092481,IF18,1524089,IF18,5430615,IF18,2117267,IF18,513767,IF18,4244,IF18,17343,R_18,21305,IF18,45352,IF18,932264,IF18,39926583,IF18,4888266,IF18,3316416,IF18,53641089,IF18,19594722,IF18,5841073,IF18,47800016,IF18,7201600,IF18,13042673,IF18,60842689,IF18,6360738,IF18,6367755,IF18,171053,IF18,89087,IF18,16713,IF18,3251764,IF18,2112573,IF18,212353,IF18,6874,IF18,5150295,IF18,18843922,IF18,-1,07/01/2017,06/30/2018,25,2018,01
MD,6006401,R_18,6006401,6006401,15,R_18,177,R_18,22,R_18,660.99,R_18,1353.99,R_18,2036.01,R_18,3390,R_18,213159331,R_18,58049267,R_18,2787044,R_18,31614812,R_18,305610454,R_18,157291565,R_18,62938376,R_18,220229941,R_18,19338617,R_18,10409045,R_18,7233500,R_18,36981162,R_18,42905242,R_18,300116345,R_18,65322257,R_18,5087771,R_18,0,R_18,703424,R_18,71113452,R_18,48049061,R_18,10750102,R_18,2283056,R_18,868491,R_18,1955454,R_18,1092532,R_18,412967,R_18,579,R_18,384,R_18,963,R_18,17804,R_18,508737,R_18,24976429,R_18,9013833,R_18,3647986,R_18,56279466,R_18,20679876,R_18,6250569,R_18,50028897,R_18,8577780,R_18,14828349,R_18,64857246,R_18,515032,R_18,463233,R_18,92124,R_18,57346,R_18,8935,R_18,2432830,R_18,1715764,R_18,206638,R_18,5519,R_18,5389682,R_18,7906671,R_18,24604423,07/01/2017,06/30/2018,24,2018,02
