STABR,POPU_LSA,F_POPLSA,POPU_UND,POPU_ST,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,F_BKVOL,EBOOK,F_EBOOK,AUDIO_PH,F_AUD_PH,AUDIO_DL,F_AUD_DL,VIDEO_PH,F_VID_PH,VIDEO_DL,F_VID_DL,EC_LO_OT,F_EC_L_O,EC_ST,F_EC_ST,ELECCOLL,F_ELECOL,SUBSCRIP,F_PRSUB,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,REFERENC,F_REFER,REGBOR,F_REGBOR,TOTCIR,F_TOTCIR,KIDCIRCL,F_KIDCIR,ELMATCIR,F_EMTCIR,PHYSCIR,F_PHYSCR,ELINFO,F_ELINFO,ELCONT,F_ELCONT,TOTCOLL,F_TOTCOL,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,KIDPRO,F_KIDPRO,YAPRO,F_YAPRO,TOTATTEN,F_TOTATT,KIDATTEN,F_KIDATT,YAATTEN,F_YAATT,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,WIFISESS,F_WIFISS,WEBVISIT,STARTDAT,ENDDATE,INCITSST,YR_SUB,OBEREG
ME,1315477,R_18,1231165,1338404,256,R_18,4,R_18,1,R_18,158.59,IF18,366.31,IF18,336.01,IF18,702.32,IF18,36257793,IF18,365231,IF18,5553,IF18,14234092,IF18,50862669,IF18,27408218,IF18,7095604,IF18,34503822,IF18,3355782,IF18,402288,IF18,626318,IF18,4384388,IF18,11833723,IF18,50721933,IF18,949198,IF18,250,IF18,18012,IF18,7259758,IF18,8227218,IF18,3641225,IF18,6082328,IF18,2573626,IF18,245462,IF18,1349667,IF18,437274,IF18,67954,IF18,17270,R_18,0,R_18,17270,R_18,9034,IF18,374759,R_18,6747975,IF18,704494,IF18,667586,IF18,8285347,R_18,3004498,IF18,539842,IF18,7745505,IF18,173302,IF18,713144,IF18,8458649,IF18,558241,IF18,592115,IF18,49808,IF18,26715,IF18,3877,IF18,737259,IF18,431697,IF18,40101,IF18,1901,IF18,812152,IF18,1254659,IF18,-1,04/01/2017,12/31/2018,23,2018,01
MI,9852214,R_18,9852214,9995915,395,R_18,248,R_18,8,R_18,1299.62,IF18,1839.85,IF18,3046.21,IF18,4886.06,IF18,414266569,IF18,14119639,IF18,320736,IF18,26201711,IF18,454908655,IF18,190325175,IF18,62561968,IF18,252887143,IF18,24461802,IF18,11875054,IF18,9955029,IF18,46291885,IF18,108128874,IF18,407307902,IF18,10115900,IF18,83177,IF18,1960196,IF18,3575525,IF18,15734798,IF18,38088436,IF18,27293955,IF18,11666961,IF18,1936313,IF18,6854279,IF18,2760346,IF18,1014081,IF18,1933,IF18,82,IF18,2117,IF18,44199,IF18,1454277,IF18,44766519,IF18,8036564,IF18,4435787,IF18,74683852,IF18,24760833,IF18,8616707,IF18,66067145,IF18,5311677,IF18,13928384,IF18,79995529,IF18,2720160,IF18,2852531,IF18,170518,IF18,84870,IF18,14643,IF18,3961837,IF18,2533120,IF18,254708,IF18,12681,IF18,7131393,IF18,9883572,IF18,54450357,12/01/2016,09/30/2018,26,2018,03
MN,5918676,R_18,5577487,5577487,128,R_18,228,R_18,9,R_18,547,R_18,830.18,R_18,1369.45,R_18,2199.63,R_18,208891338,IF18,7891864,IF18,39429,IF18,22425612,IF18,239248243,IF18,112169699,IF18,38678518,IF18,150848217,IF18,14124730,IF18,7366892,IF18,4246946,IF18,25738568,IF18,58446080,IF18,235032865,IF18,31690857,IF18,53334,IF18,164605,IF18,2364235,IF18,34273031,IF18,34455398,IF18,13594159,IF18,5874320,IF18,802328,IF18,1026736,IF18,1067825,IF18,35784,IF18,867,R_18,6800,R_18,7667,R_18,23340,IF18,737705,IF18,22952388,IF18,3252493,IF18,3822605,IF18,51959620,IF18,20917022,IF18,6944086,IF18,45015534,IF18,4525571,IF18,11469657,IF18,56485191,IF18,1246597,IF18,1242571,IF18,72632,IF18,43386,IF18,6998,IF18,1601716,IF18,1184651,IF18,91973,IF18,5734,IF18,4180075,IF18,7323090,IF18,28350694,01/01/2018,12/31/2018,27,2018,04
MO,5483526,R_18,5483526,6075300,140,R_18,226,R_18,23,R_18,315.12,IF18,846.19,IF18,2322.93,IF18,3169.12,IF18,260410598,IF18,2602035,R_18,2215436,IF18,15099355,IF18,280327424,R_18,113349474,IF18,33729560,IF18,147079034,IF18,17328742,IF18,13284811,IF18,6786876,IF18,37400429,IF18,65945356,IF18,250424819,IF18,2554191,IF18,0,IF18,108819,IF18,2757394,IF18,5420404,IF18,36569844,IF18,15968472,IF18,6401557,IF18,954399,IF18,1554062,IF18,1321379,IF18,166921,IF18,1168,IF18,1439,IF18,2569,IF18,29834,IF18,908365.73461,IF18,24691684,IF18,2972054,IF18,3181449,IF18,53244841,IF18,16740716,IF18,7112839,IF18,46132002,IF18,6840767,IF18,13953606,IF18,60085608,IF18,471472,IF18,494819,IF18,112873,IF18,59814,IF18,7140,IF18,2541451,IF18,1863916,IF18,129596,IF18,4756,IF18,4608545,IF18,3630969,IF18,24221825,01/01/2017,10/31/2018,29,2018,04
MP,51994,R_18,51994,51994,1,R_18,2,R_18,1,R_18,2,R_18,6,R_18,12,R_18,18,R_18,790474,R_18,0,R_18,121735,R_18,0,R_18,912209,R_18,577369,R_18,0,R_18,577369,R_18,20000,R_18,5000,R_18,10000,R_18,35000,R_18,213105,R_18,825474,R_18,0,R_18,0,R_18,0,R_18,0,R_18,0,R_18,0,R_18,92000,R_18,5000,R_18,280,R_18,0,R_18,4668,R_18,0,R_18,0,R_18,0,R_18,0,R_18,70,R_18,6596,R_18,126778,R_18,1996,R_18,50166,R_18,43561,R_18,21993,R_18,106,R_18,43455,R_18,0,R_18,106,R_18,43561,R_18,0,R_18,0,R_18,25,R_18,14,R_18,11,R_18,5365,R_18,4973,R_18,392,R_18,37,R_18,13047,R_18,2774,R_18,150,10/01/2017,09/30/2018,69,2018,09
MS,3005062,R_18,2969656,2988726,53,R_18,183,R_18,3,R_18,112.6,R_18,644.42,R_18,207.51,R_18,851.93,R_18,38395917,R_18,7254539,R_18,476066,R_18,4728412,R_18,50854934,R_18,24099623,R_18,8254598,R_18,32354221,R_18,2610049,R_18,789764,R_18,614726,R_18,4014539,R_18,12403496,R_18,48772256,R_18,2750,R_18,0,R_18,0,R_18,0,R_18,2750,R_18,318436,R_18,5570047,R_18,1107029,R_18,191468,R_18,446090,R_18,402599,R_18,53594,R_18,225,R_18,2597,R_18,2822,R_18,4185,R_18,427139,R_18,7608881,R_18,1320403,R_18,1575535,R_18,6719317,R_18,2222269,R_18,256079,IF18,6463238,R_18,3101272,R_18,3357351,R_18,9820589,R_18,41740,R_18,41374,R_18,31579,R_18,14969,R_18,2856,R_18,797284,R_18,425954,R_18,41153,R_18,2775,R_18,1942978,R_18,1719473,IF18,2510830,10/01/2017,09/30/2018,28,2018,05
MT,988533,R_18,988533,988533,82,R_18,36,R_18,6,R_18,64.38,R_18,177.04,R_18,195.2,R_18,372.24,R_18,29419332,R_18,171183,R_18,9209,R_18,1409741,R_18,31009465,R_18,15089723,R_18,5311571,R_18,20401294,R_18,1825309,R_18,592470,R_18,496816,R_18,2914595,R_18,5133525,R_18,28449414,R_18,449957,R_18,0,R_18,0,R_18,662447,R_18,1112404,R_18,1871125,R_18,2448227,R_18,1589175,R_18,117068,R_18,1216548,R_18,223254,R_18,1500,R_18,230,R_18,0,R_18,230,R_18,3438,R_18,211810,R_18,4332900,R_18,524732,R_18,398801,R_18,6002673,R_18,2013322,R_18,810793,R_18,5191880,R_18,406780,R_18,1217573,R_18,6409453,R_18,286621,R_18,277187,R_18,20426,R_18,12457,R_18,2218,R_18,365965,R_18,235423,R_18,21375,R_18,1213,R_18,1177338,IF18,666610,R_18,5537038,07/01/2017,06/30/2018,30,2018,07
NC,10272692,R_18,10272692,10272692,69,R_18,321,R_18,20,R_18,793.15,R_18,863.26,R_18,2213.74,R_18,3077,R_18,215761057,R_18,15011790,R_18,1416012,R_18,10621330,R_18,242810189,R_18,116737493,R_18,46004646,R_18,162742139,R_18,17404663,R_18,6623786,R_18,2874878,R_18,26903327,R_18,43275525,R_18,232920991,R_18,23306769,R_18,26999,R_18,190300,R_18,1044908,R_18,24568976,R_18,36763287,R_18,15446036,R_18,8015383,R_18,657013,R_18,1314690,R_18,878303,R_18,156671,R_18,525,R_18,7209,R_18,7734,R_18,18887,R_18,937289,R_18,31263894,R_18,6926347,IF18,5958550,R_18,48711226,R_18,21674426,IF18,5702676,R_18,43008550,R_18,9098489,R_18,14801165,R_18,57809715,R_18,464913,R_18,507899,R_18,147396,R_18,96007,R_18,11383,R_18,3145468,R_18,2484099,R_18,151614,R_18,7627,R_18,5219486,R_18,5603961,IF18,38509354,07/01/2017,06/30/2018,37,2018,05
ND,684807,R_18,684807,760077,78,R_18,8,R_18,12,R_18,51.25,R_18,136.38,R_18,117.46,R_18,253.84,R_18,18421469,R_18,1449020,R_18,1450,R_18,1510734,R_18,21382673,R_18,10404130,R_18,2905507,R_18,13309637,R_18,1823840,R_18,465979,R_18,406732,R_18,2696551,R_18,4321837,R_18,20328025,R_18,2079750,R_18,15631,R_18,54431,R_18,94969,R_18,2244781,R_18,2771757,R_18,2176439,R_18,1034484,R_18,93480,R_18,996820,R_18,141233,R_18,38887,R_18,1597,R_18,711,R_18,2308,R_18,3449,R_18,153428,R_18,2217929,R_18,476389,R_18,270153,R_18,3584698,R_18,1409079,R_18,464268,R_18,3120430,R_18,293296,R_18,757564,R_18,3877994,R_18,55870,R_18,43879,R_18,11023,IF18,7097,IF18,1279,IF18,248931,IF18,176830,IF18,22882,IF18,759,R_18,434477,R_18,1858953,IF18,1000935,01/01/2018,12/31/2018,38,2018,04
NE,1584326,R_18,1584326,1929268,245,R_18,19,R_18,8,R_18,123.06,IF18,419.57,IF18,375.63,IF18,795.2,IF18,60222872,IF18,644699,IF18,9239,IF18,3054152,IF18,63930962,IF18,29968062,IF18,9984065,IF18,39952127,IF18,4789106,IF18,1907219,IF18,1278511,IF18,7974836,IF18,12464441,IF18,60391404,IF18,5148506,IF18,194534,IF18,0,IF18,3042761,IF18,8385801,IF18,9829657,IF18,5642522,IF18,4665489,IF18,240039,IF18,2777147,IF18,392671,IF18,13497,IF18,330,IF18,6125,R_18,6442,R_18,9565,IF18,447607,IF18,7456884,IF18,609910,IF18,1109443,IF18,12992585,IF18,6120706,IF18,1661144,IF18,11331441,IF18,893306,IF18,2554450,IF18,13885891,IF18,31898,IF18,29535,IF18,36215,IF18,23614,IF18,3755,IF18,889232,IF18,700291,IF18,52631,IF18,2853,IF18,1686652,IF18,3374358,IF18,4232188,01/01/2017,12/31/2018,31,2018,04
NH,1463071,R_18,1342795,1342795,225,R_18,6,R_18,0,R_18,255.06,IF18,504.32,IF18,362.92,IF18,867.24,IF18,60368870,IF18,7336,IF18,2550,IF18,4359136,IF18,64737892,IF18,36711025,IF18,10616706,IF18,47327731,IF18,4162242,IF18,1053914,IF18,1046170,IF18,6262326,IF18,9896104,IF18,63486161,IF18,7624590,IF18,322129,IF18,4448822,IF18,7773722,IF18,20169263,IF18,8062391,IF18,5689733,IF18,6194874,R_18,284216,IF18,4053444,R_18,518200,IF18,98122,R_18,234,R_18,4707,R_18,4941,R_18,9731,IF18,396844,IF18,7045010,IF18,788317,IF18,777423,IF18,10227371,IF18,3353034,IF18,1224039,R_18,9003332,IF18,1294657,R_18,2518696,R_18,11522028,IF18,289894,IF18,284359,IF18,57895,IF18,30447,IF18,3861,IF18,855332,IF18,527694,IF18,49789,IF18,1533,IF18,661082,IF18,793498,IF18,2932061,07/01/2017,12/31/2018,33,2018,01
NJ,9403702,R_18,8708750,8791894,295,R_18,143,R_18,12,R_18,1350.69,IF18,1424.32,IF18,3275.27,IF18,4699.59,IF18,473619999,IF18,4255170,IF18,541804,IF18,20734003,IF18,499150976,IF18,237669009,IF18,98803233,IF18,336472242,IF18,25394105,IF18,8754273,IF18,7001449,IF18,41149827,IF18,86521710,IF18,464143779,IF18,12256148,IF18,7292,IF18,0,IF18,536490,IF18,12799930,IF18,15160175,IF18,25699210,IF18,10043792,IF18,1874107,IF18,6011058,IF18,2346491,IF18,1379302,IF18,3388,IF18,6490,R_18,9732,IF18,352302,IF18,1169416,IF18,40960712,IF18,6353739,IF18,4134420,IF18,51014172,IF18,20262692,IF18,4565916,IF18,46448256,IF18,4456799,IF18,9022715,IF18,55470971,IF18,1898070,IF18,2021742,IF18,228109,IF18,106505,IF18,26770,IF18,3754074,IF18,2241018,IF18,254291,IF18,8403,IF18,7448920,IF18,7607740,IF18,-1,01/01/2018,12/31/2018,34,2018,02
NM,1499356,R_18,1499356,2059179,96,R_18,28,R_18,1,R_18,134.2,R_18,279.85,R_18,417.92,R_18,697.77,R_18,47100625,R_18,3201799,R_18,1200092,R_18,3668809,R_18,55171325,R_18,22660704,R_18,8812914,R_18,31473618,R_18,4223205,R_18,2308216,R_18,1457955,R_18,7989376,R_18,9753550,R_18,49216544,R_18,3730754,R_18,693850,R_18,20038,R_18,80623,R_18,4525265,R_18,3784249,IF18,4182485,R_18,857894,R_18,212127,R_18,477427,IF18,383294,R_18,60315,IF18,369,R_18,4704,R_18,5073,R_18,5738,R_18,266637,R_18,6908686,R_18,968372,IF18,1124658,R_18,9288428,R_18,2578564,R_18,1377786,R_18,7910642,R_18,2575732,IF18,3953518,R_18,11864160,R_18,11498,R_18,18975,R_18,23832,R_18,13399,R_18,3783,IF18,466015,R_18,322760,R_18,31049,IF18,1802,R_18,1622383,R_18,3468533,IF18,4531476,07/01/2017,06/30/2018,35,2018,06
NV,2985676,R_18,2985676,2986656,20,R_18,64,R_18,3,R_18,177.86,R_18,219.99,R_18,604.52,R_18,824.51,R_18,70180412,R_18,25763019,R_18,1191742,R_18,4447943,R_18,101583116,R_18,44774659,R_18,18563935,R_18,63338594,R_18,5146100,R_18,5105449,R_18,2560858,R_18,12812407,R_18,19042139,R_18,95193140,R_18,767488,R_18,0,R_18,0,R_18,20381,R_18,787869,R_18,17017346,R_18,3841636,R_18,603035,R_18,282923,R_18,241615,R_18,579122,R_18,80025,R_18,273,R_18,1034,R_18,1307,R_18,5026,R_18,165366,R_18,9334070,R_18,1518140,R_18,1308457,R_18,17813193,R_18,5720990,R_18,2821512,R_18,14991681,R_18,2464573,R_18,5286085,R_18,20277766,R_18,147120,R_18,102387,R_18,30466,R_18,16715,R_18,3363,R_18,770547,R_18,493301,R_18,66338,R_18,1404,R_18,2533341,R_18,1385422,IF18,12673839,07/01/2017,06/30/2018,32,2018,08
NY,19548630,R_18,19378102,19378102,755,R_18,313,R_18,12,R_18,3635.88,R_18,4509.49,R_18,8269.77,R_18,12779.26,R_18,1200602212,R_18,59784196,R_18,5423300,R_18,194559485,R_18,1460369193,R_18,675347472,R_18,302723980,R_18,978071452,R_18,58300065,R_18,30704462,R_18,15515015,R_18,104519542,R_18,261000757,R_18,1343591751,R_18,28271706,R_18,17734405,R_18,65874,R_18,87098387,R_18,133170372,R_18,135867261,R_18,65596015,R_18,33912817,R_18,3471779,R_18,7875083,R_18,5610462,R_18,335674,IF18,14543,R_18,12096,R_18,26639,R_18,171139,R_18,2492313,R_18,97921323,R_18,26053498,IF18,11342935,R_18,120116828,R_18,39238734,R_18,15379434,R_18,104737394,R_18,7403103,R_18,22782537,R_18,127519931,R_18,7230431,R_18,7206317,R_18,664224,R_18,279607,R_18,71854,R_18,11580024,R_18,5904084,R_18,921869,R_18,20843,R_18,16339723,R_18,17729878,R_18,111144937,04/01/2017,12/31/2018,36,2018,02
OH,11502271,R_18,11502271,11502271,239,R_18,479,R_18,56,R_18,2002.88,IF18,2792.3,R_18,6342.21,R_18,9134.51,R_18,389904358,R_18,393612199,R_18,310564,R_18,76897750,R_18,860724871,R_18,367365870,R_18,119785285,R_18,487151155,R_18,46066120,R_18,28722941,R_18,30066620,R_18,104855681,R_18,172434187,R_18,764441023,R_18,105900,IF18,1000,IF18,56710,IF18,19522991,IF18,19686601,IF18,99061940,IF18,39485746,R_18,98929578,IF18,3227354,R_18,41843205,IF18,5677672,R_18,5536747,IF18,2427,R_18,15573,R_18,18000,R_18,86692,R_18,1937648,R_18,68176967,IF18,16545389,IF18,8555243,R_18,175664295,R_18,53507362,R_18,22723053,R_18,152941242,R_18,19316916,R_18,42039969,R_18,194981211,R_18,9986377,IF18,9894407,IF18,306574,IF18,193081,IF18,30632,R_18,6872012,R_18,5045028,R_18,497540,R_18,14008,R_18,13799996,IF18,22676399,R_18,-1,01/01/2018,12/31/2018,39,2018,03
OK,3235213,R_18,3235213,3943079,119,R_18,96,R_18,3,R_18,269.63,R_18,876.86,R_18,656.35,R_18,1533.21,R_18,121019094,R_18,1753823,R_18,600604,R_18,7164597,R_18,130538118,R_18,59545710,R_18,21246002,R_18,80791712,R_18,8497694,R_18,6446885,R_18,3161239,R_18,18105818,R_18,24402052,R_18,123299582,R_18,282430,R_18,1946,R_18,5338,R_18,1903040,R_18,2192754,R_18,4268714,R_18,6230792,R_18,4763448,R_18,351304,R_18,1234256,R_18,566347,R_18,105982,R_18,491,R_18,4403,R_18,4894,R_18,28976,R_18,515593,R_18,13399265,R_18,1836692,R_18,1968983,R_18,24750056,R_18,8804139,R_18,4544318,R_18,20205738,R_18,4184190,R_18,8728508,R_18,28934246,R_18,40713,R_18,76348,R_18,48701,R_18,25910,R_18,6890,R_18,1336275,R_18,918750,R_18,106046,R_18,3195,R_18,2823266,R_18,5334689,R_18,12938978,07/01/2017,06/30/2018,40,2018,06
OR,3799025,R_18,3615420,4141100,134,R_18,87,R_18,6,R_18,468.63,R_18,560.52,R_18,1382.94,R_18,1943.46,R_18,238571947,R_18,752136,R_18,354249,R_18,15236530,IF18,254914862,R_18,96921888,IF18,53386446,IF18,150308334,R_18,10984530,R_18,8587507,IF18,3556767,IF18,23128804,R_18,55994754,R_18,229431892,R_18,12944025,IF18,3462277,IF18,500000,IF18,2776270,IF18,19682572,R_18,9675139,R_18,8798725,R_18,7303131,R_18,637667,R_18,4425337,R_18,976559,R_18,93785,R_18,1178,IF18,3105,R_18,4281,R_18,14156,IF18,442095,R_18,19657317,IF18,1818266,IF18,2180552,IF18,54194188,R_18,12050345,R_18,5814933,R_18,48379255,R_18,2135292,R_18,7950225,R_18,56329480,R_18,55561,R_18,66319,R_18,74487,IF18,50533,IF18,6514,IF18,1778679,IF18,1389725,IF18,90283,IF18,3051,IF18,2696536,IF18,19215338,IF18,38773020,07/01/2017,06/30/2018,41,2018,08
PA,12442813,R_18,12431078,12702379,447,R_18,174,R_18,22,R_18,1195.43,IF18,1497.76,IF18,3124.58,IF18,4622.34,IF18,257858285,IF18,57355919,IF18,840141,IF18,66171773,IF18,382226118,IF18,180894618,IF18,70117013,IF18,251011631,IF18,20012175,IF18,9528890,IF18,5118791,IF18,34659856,IF18,82099805,IF18,367771292,IF18,2734086,R_18,476512,R_18,0,R_18,5384725,R_18,8595323,R_18,27819324,IF18,24144319,IF18,27988200,IF18,1739040,IF18,60039849,IF18,2093393,IF18,4304750,IF18,4896,IF18,10373,R_18,15247,R_18,44287,IF18,1474518,IF18,40885876,IF18,7582349,IF18,5342411,IF18,60629689,IF18,21790408,IF18,7939533,IF18,52690156,IF18,12032280,IF18,19971813,IF18,72661969,IF18,4649272,IF18,4681064,IF18,255997,IF18,156679,IF18,22715,R_18,4571725,IF18,3249087,IF18,261409,R_18,8048,IF18,5507602,IF18,9002645,IF18,-1,01/01/2018,12/31/2018,42,2018,02
RI,1424662,R_18,1057853,1057853,47,R_18,24,R_18,2,R_18,226.44,R_18,248.37,R_18,378.31,R_18,626.68,R_18,36678487,R_18,8908182,R_18,590797,R_18,7174617,R_18,53352083,R_18,28624172,R_18,9317797,R_18,37941969,R_18,2439842,R_18,630612,R_18,577896,R_18,3648350,R_18,10609157,R_18,52199476,R_18,405951,R_18,602201,R_18,0,R_18,1776636,R_18,2784788,R_18,1898148,R_18,3390958,R_18,3160067,R_18,151061,R_18,1003992,R_18,268527,R_18,35974,R_18,190,R_18,1728,R_18,1918,R_18,4461,R_18,162210,R_18,5490076,R_18,561620,R_18,400603,R_18,5876305,R_18,1791735,R_18,781434,R_18,5094871,R_18,322890343,R_18,323671777,R_18,328766648,R_18,1053865,R_18,1004239,R_18,32596,R_18,14870,R_18,3795,R_18,532624,R_18,234718,R_18,42940,R_18,1410,R_18,853406,R_18,753626,IF18,-1,07/01/2017,06/30/2018,44,2018,01
SC,4652360,R_18,4652360,4652360,42,R_18,155,R_18,31,R_18,490.11,R_18,614.48,R_18,1406.74,R_18,2021.22,R_18,137209769,R_18,9657878,R_18,228607,R_18,4670861,R_18,151767115,R_18,70248309,R_18,27234555,R_18,97482864,R_18,10372288,R_18,4076833,R_18,4790644,R_18,19239765,R_18,24824707,R_18,141547336,R_18,14512495,R_18,39906,R_18,40000,R_18,0,R_18,14592401,R_18,21510501,R_18,8580829,R_18,2674231,R_18,431649,R_18,2018652,R_18,754934,R_18,190007,R_18,378,R_18,2100,R_18,2478,R_18,37136,R_18,494194,R_18,13989511,R_18,2518524,R_18,2408231,R_18,23388837,R_18,8412191,R_18,3651133,R_18,19737704,R_18,8299302,R_18,11950435,R_18,31688139,R_18,255267,R_18,272951,R_18,68174,R_18,30814,R_18,5592,R_18,1473293,R_18,860696,R_18,135426,R_18,4290,R_18,3199201,R_18,2496517,R_18,15054197,07/01/2017,06/30/2018,45,2018,05
SD,1272848,R_18,771212,882235,110,R_18,30,R_18,4,R_18,45.6,R_18,174.03,R_18,183.85,R_18,357.88,R_18,26273668,R_18,130,R_18,308616,R_18,1058464,R_18,27640878,R_18,13682799,R_18,4331026,R_18,18013825,R_18,1962517,R_18,1036835,R_18,499144,R_18,3498496,R_18,5049407,R_18,26561728,R_18,666735,R_18,0,R_18,5000,R_18,73917,R_18,745652,R_18,768512,R_18,2766567,R_18,1591363,R_18,130188,R_18,661779,R_18,165657,R_18,1928,R_18,213,R_18,5940,R_18,6153,R_18,3826,R_18,261867,R_18,3824804,R_18,351331,IF18,373419,R_18,5835625,R_18,2382124,R_18,687340,R_18,5148285,R_18,466192,R_18,1153532,R_18,6301817,R_18,30395,R_18,38416,R_18,17141,R_18,12466,R_18,1644,R_18,336769,R_18,269031,R_18,22886,R_18,1109,R_18,965986,R_18,748707,IF18,1660367,01/01/2018,12/31/2018,46,2018,04
TN,6548004,R_18,6548004,6715984,186,R_18,97,R_18,3,R_18,294.34,R_18,612.37,R_18,1368.96,R_18,1981.33,R_18,128408911,R_18,380887,R_18,273023,R_18,7450551,R_18,136513372,R_18,65337703,R_18,23287398,R_18,88625101,R_18,9230018,R_18,3771697,R_18,1374373,R_18,14376088,R_18,28801960,R_18,131803149,R_18,7080988,R_18,105430,R_18,11181,R_18,419761,R_18,7617360,R_18,5214983,R_18,10961559,R_18,22437424,R_18,514741,R_18,10289229,IF18,761919,R_18,635249,IF18,472,R_18,13020,R_18,13492,R_18,10364,R_18,640999,R_18,18102460,R_18,3368762,IF18,3312983,R_18,27542372,R_18,9798118,IF18,5710013,R_18,21832359,R_18,3440146,IF18,9150159,R_18,30982518,R_18,118612,IF18,140827,IF18,79311,R_18,39531,R_18,11199,R_18,1705956,R_18,1148656,R_18,151979,R_18,5931,R_18,4425559,R_18,4268705,IF18,18458425,07/01/2017,06/30/2018,47,2018,05
TX,26119839,IF18,26119839,28304596,557,R_18,326,R_18,11,R_18,1743.1,IF18,2598.25,IF18,4432.08,IF18,7030.33,IF18,556259404,IF18,115625,IF18,1864143,IF18,21494377,IF18,579733549,IF18,275916092,IF18,109915360,IF18,385831452,IF18,37420250,IF18,20553777,IF18,9733024,IF18,67707051,IF18,108531124,IF18,562069627,IF18,59624134,IF18,0,IF18,124655,IF18,5394158,IF18,65142947,IF18,60840680,IF18,38462301,IF18,14469114,IF18,1913690,IF18,5720435,IF18,3475250,IF18,555998,IF18,2550,IF18,34871,IF18,37082,IF18,40891,IF18,1947793,IF18,66180796,IF18,13595943,IF18,14637397,IF18,117807992,IF18,46077540,IF18,18275678,IF18,99532314,IF18,5161989,IF18,23437667,IF18,122969981,IF18,663446,IF18,648475,IF18,305270,IF18,158334,IF18,29207,IF18,6865496,IF18,4866492,IF18,459383,IF18,20709,IF18,11917086,IF18,64772434,IF18,63177737,02/01/2017,12/31/2018,48,2018,06
UT,3053828,R_18,3053828,3101833,64,R_18,63,R_18,15,R_18,247.12,IF18,409.12,IF18,907.01,IF18,1316.13,IF18,117114247,IF18,1496485,IF18,204691,IF18,4160051,IF18,122975474,IF18,51707567,IF18,23145844,IF18,74853411,IF18,8363670,IF18,3603300,IF18,3018928,IF18,14985898,IF18,24150691,IF18,113990000,IF18,8737440,IF18,177100,IF18,9981,IF18,87321,IF18,9011842,IF18,13243525,IF18,6399687,IF18,3175961,R_18,595340,IF18,2593391,R_18,690832,IF18,121576,R_18,238,IF18,4070,R_18,4541,IF18,8859,IF18,318153,IF18,15358368,IF18,2648118,IF18,1770432,IF18,35203586,IF18,15824272,IF18,4578873,IF18,30624713,IF18,2417943,IF18,6996816,IF18,37621529,IF18,48695,IF18,60566,IF18,49149,IF18,30121,IF18,5291,IF18,2087519,IF18,1017835,IF18,92673,IF18,2293,IF18,2309632,IF18,2661393,IF18,10104285,07/01/2017,12/31/2018,49,2018,07
VA,8374184,R_18,8362984,8517685,84,R_18,275,R_18,23,R_18,944.52,R_18,1074.27,R_18,3243.61,R_18,4317.88,R_18,274719690,R_18,15755584,R_18,1583317,R_18,13043942,R_18,305102533,R_18,159189022,R_18,54438130,R_18,213627152,R_18,18603054,R_18,9176462,R_18,4450008,R_18,32229524,R_18,55526010,R_18,301382686,R_18,18070542,R_18,0,IF18,0,IF18,247710,IF18,18318252,R_18,16536330,R_18,15785390,R_18,16933624,R_18,916141,R_18,21622738,R_18,1358704,R_18,650398,IF18,922,R_18,3162,R_18,4084,R_18,20130,R_18,924736,R_18,33943329,R_18,6820945,IF18,4959766,R_18,62445595,R_18,23506528,IF18,7572519,R_18,54873076,R_18,10324046,IF18,17896565,R_18,72769641,R_18,142861,IF18,146891,IF18,129571,R_18,73829,R_18,11471,IF18,3164884,R_18,2094455,R_18,197650,IF18,8078,R_18,6398304,IF18,11457717,IF18,29492131,07/01/2017,06/30/2018,51,2018,05
