STABR,POPU_LSA,F_POPLSA,POPU_UND,POPU_ST,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,EBOOK,F_EBOOK,AUDIO_PH,F_AUD_PH,AUDIO_DL,F_AUD_DL,VIDEO_PH,F_VID_PH,VIDEO_DL,F_VID_DL,EC_LO_OT,F_EC_L_O,EC_ST,F_EC_ST,ELECCOLL,F_ELECOL,SUBSCRIP,F_PRSUB,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,REFERENC,F_REFER,REGBOR,F_REGBOR,TOTCIR,KIDCIRCL,F_KIDCIR,ELMATCIR,PHYSCIR,ELINFO,ELCONT,TOTCOLL,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,KIDPRO,F_KIDPRO,YAPRO,F_YAPRO,TOTATTEN,F_TOTATT,KIDATTEN,F_KIDATT,YAATTEN,F_YAATT,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,WIFISESS,STARTDAT,ENDDATE,INCITSST,YR_SUB,OBEREG
FL,20790357,R_17,20440528,20484142,59,R_17,474,R_17,21,R_17,1709.13,IF17,1968.91,IF17,4371.12,IF17,6340.03,IF17,559671054,IF17,22486117,IF17,1264558,IF17,22002695,IF17,605424424,IF17,241815775,IF17,92804506,IF17,334620281,IF17,34392206,IF17,20438702,IF17,11572164,IF17,66403072,IF17,161283493,IF17,562306846,IF17,35725460,IF17,944503,IF17,6496,IF17,3429535,IF17,40105994,IF17,24342708,IF17,28147847,5201706,IF17,1880107,IF17,18368080,IF17,3508734,IF17,371311,IF17,1526,IF17,5670,R_17,7196,IF17,42637,IF17,1275478,IF17,66753349,IF17,21779507,IF17,11640505,IF17,99660103,31821434,IF17,16611449,83262706,10666921,27278369,110259833,110654,IF17,127577,IF17,247424,IF17,108606,IF17,21962,R_17,5119536,IF17,3012248,IF17,357999,R_17,16813,IF17,12529944,IF17,10257484,10/01/2016,09/30/2017,12,2017,05
GA,10508053,R_17,10508053,10508053,62,R_17,334,R_17,9,R_17,607.89,R_17,607.89,R_17,2096.49,R_17,2704.38,R_17,156898486,R_17,31418594,R_17,1365414,R_17,11234383,R_17,200916877,R_17,101331237,R_17,40628088,R_17,141959325,R_17,11477675,R_17,4777099,R_17,2323661,R_17,18578435,R_17,37249085,R_17,197786845,R_17,36008666,R_17,10340530,R_17,50000,R_17,32500,R_17,46431696,R_17,46717655,R_17,16218983,771609,R_17,533589,R_17,299549,R_17,1021718,R_17,122810,IF17,282,R_17,3843,R_17,4125,R_17,13270,R_17,853482,R_17,28816233,R_17,7328518,IF17,4267898,R_17,35452730,15920999,R_17,2490471,32962259,1835854,4326325,37288584,18611,R_17,13548,R_17,98060,R_17,49431,R_17,8155,R_17,2858298,R_17,1891540,R_17,229883,R_17,9533,R_17,12184391,R_17,4092889,07/01/2016,06/30/2017,13,2017,05
GU,164229,R_17,164229,164229,1,R_17,5,R_17,0,R_17,0,R_17,0,R_17,21,R_17,21,R_17,1246021,R_17,0,R_17,0,R_17,13704,R_17,1259725,R_17,601215,R_17,238387,R_17,839602,R_17,783,R_17,0,R_17,0,R_17,783,R_17,4980,R_17,845365,R_17,0,R_17,0,R_17,110261,R_17,0,R_17,110261,R_17,0,R_17,272720,200,R_17,125,R_17,340,R_17,6,R_17,0,R_17,2,R_17,0,R_17,2,R_17,0,R_17,4378,R_17,81572,R_17,22692,R_17,65987,R_17,39928,21842,R_17,0,-1,-1,0,0,17,R_17,1,R_17,1363,R_17,702,R_17,258,R_17,13730,R_17,11986,R_17,905,R_17,81,R_17,18376,R_17,1945,10/01/2016,09/30/2017,66,2017,09
HI,1428557,R_17,1428557,1428557,1,R_17,49,R_17,2,R_17,171,R_17,173,R_17,385,R_17,558,R_17,0,R_17,34091895,R_17,1653735,R_17,2347121,R_17,38092751,R_17,24928182,R_17,218534,R_17,25146716,R_17,2638373,R_17,1127868,R_17,121301,R_17,3887542,R_17,8909107,R_17,37943365,R_17,0,R_17,6500000,R_17,0,R_17,0,R_17,6500000,R_17,10142692,R_17,2921878,82228,R_17,114476,R_17,26605,R_17,169522,R_17,0,R_17,0,R_17,109,R_17,109,R_17,2666,R_17,93968,R_17,4135229,R_17,537262,R_17,916880,R_17,5905539,2358640,R_17,695410,5210129,16069011,16764421,21974550,255,R_17,26,R_17,11182,R_17,8074,R_17,1486,R_17,289744,R_17,215406,R_17,43247,R_17,564,R_17,820229,R_17,441626,07/01/2016,06/30/2017,15,2017,08
IA,3089315,R_17,3072629,3145711,543,R_17,24,R_17,4,R_17,301.87,IF17,1016.65,IF17,743.48,IF17,1760.13,IF17,118766113,IF17,2499834,IF17,74829,IF17,10134844,IF17,131475620,IF17,65757240,IF17,21566175,IF17,87323415,IF17,9539896,IF17,3113377,IF17,3047394,IF17,15700667,IF17,22115764,IF17,125139846,IF17,5307883,IF17,215174,IF17,3000,IF17,4696023,IF17,10222080,IF17,9162797,IF17,11704866,14712292,IF17,658740,IF17,6787034,IF17,1120241,IF17,23046,IF17,1053,IF17,7493,IF17,8546,IF17,26132,IF17,1009121,IF17,17245764,IF17,1682184,IF17,2034993,IF17,25213422,9064933,IF17,1873062,23340360,3519865,5392927,28733287,327432,IF17,338720,IF17,94341,IF17,60322,IF17,8164,IF17,1943040,IF17,1488194,IF17,113969,IF17,5079,IF17,2802520,IF17,3561016,07/01/2016,06/30/2017,19,2017,04
ID,1424168,R_17,1424168,1716943,99,R_17,49,R_17,12,R_17,106.47,R_17,225.65,R_17,602.54,R_17,828.19,R_17,52258697,R_17,1943413,R_17,41501,R_17,4300497,R_17,58544108,R_17,26363973,R_17,8543674,R_17,34907647,R_17,4124587,R_17,1382532,R_17,679921,R_17,6187040,R_17,13229192,R_17,54323879,R_17,2120424,R_17,4028,R_17,23881,R_17,1297028,R_17,3445361,R_17,8271337,R_17,4232266,515011,R_17,227369,IF17,323143,R_17,358705,IF17,1018,R_17,196,R_17,5253,R_17,5449,R_17,5024,R_17,284610,IF17,8029503,R_17,1207399,IF17,886462,IF17,15620490,6559155,IF17,1348889,14271601,2684156,4033045,18304646,141207,IF17,137664,R_17,38483,IF17,25083,IF17,3419,IF17,967082,R_17,726418,R_17,52485,IF17,1977,R_17,1588950,IF17,1377733,10/01/2016,09/30/2017,16,2017,07
IL,11714654,R_17,11714654,12801539,622,R_17,162,R_17,17,R_17,2247.35,IF17,3285.2,R_17,5473.39,R_17,8758.59,R_17,772329940,IF17,25538119,R_17,2631845,R_17,39666735,R_17,840166639,IF17,386108844,R_17,110234608,IF17,496343452,IF17,43620871,IF17,24420199,IF17,14618989,IF17,82660059,IF17,183536649,IF17,762540160,IF17,27349614,R_17,2976096,IF17,9734,IF17,8086317,IF17,38421761,IF17,73552960,IF17,39946369,21830848,IF17,2835940,IF17,7855094,IF17,3582261,IF17,492301,IF17,7070,IF17,8086,R_17,15156,IF17,91278,IF17,1921739,R_17,66174632,IF17,10261005,IF17,4995089,R_17,107710331,41947691,IF17,9090699,98992177,14412002,20618908,91514945,5377306,IF17,5624215,IF17,234361,IF17,138304,IF17,24490,IF17,5212490,IF17,3588877,IF17,365431,R_17,15834,IF17,11617964,IF17,20971054,12/01/2015,06/30/2017,17,2017,03
IN,6207897,R_17,6100143,6483802,235,R_17,190,R_17,29,R_17,1003.5,IF17,1508.06,IF17,2953.69,IF17,4461.75,IF17,316199721,IF17,22258981,IF17,877257,IF17,14883215,IF17,354219174,IF17,151581249,IF17,49302383,IF17,200883632,IF17,23077054,IF17,13655241,IF17,7870489,IF17,44602784,IF17,77102522,IF17,322588938,IF17,25813126,IF17,2646897,IF17,0,IF17,17688415,IF17,46148438,IF17,34176612,IF17,21369975,8637093,IF17,1444827,IF17,2948150,IF17,2177000,IF17,223824,IF17,2990,R_17,20768,R_17,23758,R_17,43309,IF17,1089971,IF17,31849195,IF17,3840306,IF17,3224542,IF17,70760927,21293051,IF17,12905957,57854167,25192842,38096783,95952966,624337,IF17,634250,IF17,147537,IF17,84383,IF17,14296,IF17,3434855,IF17,2212475,IF17,230098,IF17,8389,IF17,6035039,IF17,12775618,01/01/2017,12/31/2017,18,2017,03
KS,2503572,R_17,2503572,2907289,324,R_17,46,R_17,8,R_17,284.47,IF17,728.94,IF17,1010.45,IF17,1739.39,IF17,124113271,IF17,4030419,IF17,63835,IF17,11856008,IF17,140063533,IF17,61564759,IF17,18584034,IF17,80148793,IF17,8090548,IF17,3691649,IF17,2810119,IF17,14592316,IF17,40083750,IF17,134824859,IF17,2594841,IF17,0,IF17,0,IF17,1225688,IF17,3820529,IF17,4508592,IF17,8808817,33481802,IF17,500621,IF17,7847645,IF17,965435,IF17,55181,IF17,353,IF17,20800,R_17,21153,IF17,13240,IF17,685570,IF17,13737900,IF17,1975371,IF17,1680168,IF17,24540544,9575613,IF17,1498120,23042424,774361,2272481,25314905,827480,IF17,850155,IF17,64932,IF17,41801,IF17,7838,IF17,1354936,IF17,988363,IF17,107986,IF17,3665,IF17,2553825,IF17,2167650,01/01/2017,12/31/2017,20,2017,04
KY,4436974,R_17,4436974,4436974,119,R_17,84,R_17,74,R_17,372.23,R_17,1267.8,R_17,1087.23,R_17,2355.03,R_17,175850616,R_17,6281429,R_17,166049,R_17,7478224,R_17,189776318,R_17,70999654,R_17,27232645,R_17,98232299,R_17,10297707,R_17,6066368,R_17,4406252,R_17,20770327,R_17,34529658,R_17,153532284,R_17,5236754,R_17,444500,R_17,4615950,R_17,2678922,R_17,12976126,R_17,46803901,R_17,8919189,12955130,R_17,519062,R_17,2867258,R_17,931888,R_17,274883,R_17,1105,R_17,5839,R_17,6944,R_17,14797,R_17,634060,R_17,17909495,R_17,4392425,R_17,2689972,R_17,29538797,9271140,R_17,3281795,26257002,5747238,9029033,35286035,43657,R_17,53546,R_17,102739,R_17,52716,R_17,8824,R_17,2569916,R_17,1277306,R_17,163586,R_17,4995,R_17,4214642,R_17,24021391,07/01/2016,06/30/2017,21,2017,05
LA,4705141,R_17,4684333,4684333,67,R_17,268,R_17,26,R_17,465.59,R_17,1216.01,R_17,1513.02,R_17,2729.03,R_17,249656248,R_17,4830570,R_17,979628,R_17,7031930,R_17,262498376,R_17,95788489,R_17,37322116,R_17,133110605,R_17,12295863,R_17,7870745,R_17,5033515,R_17,25200123,R_17,58566025,R_17,216876753,R_17,3888239,R_17,127368,R_17,3756157,R_17,708704,R_17,8480468,R_17,47369009,R_17,11736841,3163760,R_17,471904,R_17,1588085,IF17,1208387,R_17,205468,IF17,1012,R_17,3283,R_17,4295,R_17,22113,R_17,801330,R_17,17211007,R_17,4633343,R_17,2502347,R_17,21469005,4739231,R_17,3974362,17494643,15172744,19147106,36641749,81064,R_17,93651,R_17,92201,R_17,48064,R_17,13489,IF17,2045166,R_17,1163686,R_17,235040,IF17,5677,R_17,4941040,IF17,4223636,01/01/2017,12/31/2017,22,2017,05
MA,6783954,R_17,6780515,6780743,370,R_17,91,R_17,7,R_17,1309.62,IF17,1906.35,IF17,1937.25,IF17,3843.6,IF17,275371846,IF17,11152596,IF17,491438,IF17,30770290,IF17,317786170,IF17,197720365,IF17,33005234,IF17,230725599,IF17,22459515,IF17,8959671,IF17,7137058,IF17,38556244,IF17,52336004,IF17,321617847,IF17,16206557,IF17,11048217,IF17,4620,IF17,5190760,IF17,32450154,IF17,40915469,IF17,29802168,18451578,R_17,1532147,IF17,5220395,IF17,2100642,IF17,518460,IF17,3526,R_17,22200,R_17,25726,R_17,42619,IF17,933802,IF17,40457299,IF17,4814572,IF17,3353700,IF17,54676182,20050278,IF17,5151671,49524511,7201042,12352713,61877224,6202878,IF17,6240733,IF17,159797,IF17,83773,IF17,15179,IF17,3013804,IF17,2002732,IF17,178602,IF17,6586,IF17,5767554,IF17,6056935,07/01/2016,06/30/2017,25,2017,01
MD,5979685,R_17,5928814,5928814,14,R_17,176,R_17,20,R_17,648.45,R_17,1287.56,R_17,2101.06,R_17,3388.62,R_17,207551571,R_17,56308578,R_17,3789234,R_17,30147069,R_17,297796452,R_17,149562836,R_17,59272009,R_17,208834845,R_17,18528414,R_17,9533419,R_17,7179675,R_17,35241508,R_17,42733375,R_17,286809728,R_17,72107910,R_17,6004455,R_17,185273,R_17,10000,R_17,78307638,R_17,46060446,R_17,10729087,1549919,R_17,917822,R_17,1149883,R_17,1080491,R_17,127108,IF17,581,R_17,384,R_17,965,R_17,19004,R_17,489317,R_17,26089963,R_17,8234789,R_17,3630368,R_17,56356544,23038009,R_17,5022353,51334191,10627438,15649791,66983982,435725,R_17,440013,R_17,88428,R_17,55697,R_17,8332,R_17,2388759,R_17,1790337,R_17,211032,R_17,5191,R_17,5609327,R_17,15122526,07/01/2016,06/30/2017,24,2017,02
ME,1350152,R_17,1222113,1335907,262,R_17,4,R_17,1,R_17,162.28,IF17,366.99,IF17,333.11,IF17,700.1,IF17,34756121,R_17,364631,IF17,10637,IF17,12174325,IF17,47305714,IF17,26383397,IF17,6792013,IF17,33175410,IF17,3305617,IF17,499482,IF17,572859,IF17,4377958,IF17,10279028,IF17,47832396,IF17,591547,IF17,500,IF17,3060,IF17,4369124,IF17,4964231,IF17,5224673,IF17,6164659,2211793,IF17,242850,IF17,1304031,IF17,428475,IF17,73975,IF17,15816,R_17,0,R_17,15816,R_17,9112,IF17,379772,R_17,6801263,IF17,740473,IF17,676246,IF17,8539309,3123704,R_17,499360,8039949,133991,633345,8673294,537936,IF17,571620,IF17,48193,R_17,25758,R_17,3699,R_17,715290,R_17,413856,IF17,44765,R_17,1919,IF17,923836,IF17,706450,04/01/2016,12/31/2017,23,2017,01
MI,9845888,R_17,9845888,9962311,394,R_17,249,R_17,8,R_17,1281.91,IF17,1806.11,IF17,3041.67,IF17,4847.78,IF17,400330006,IF17,14319654,IF17,394956,IF17,24868501,IF17,439913117,IF17,183794203,IF17,60781540,IF17,244575743,IF17,24852010,IF17,10519825,IF17,10520546,IF17,45892381,IF17,103381160,IF17,393849284,IF17,22745223,IF17,62855,IF17,10708,IF17,3113688,IF17,25932474,IF17,46630086,IF17,27948095,8403781,IF17,1945971,IF17,4829854,IF17,2668919,IF17,492628,IF17,1916,IF17,179,IF17,2095,IF17,45422,IF17,1451306,IF17,46052561,IF17,8384564,IF17,4731155,IF17,77582955,25017398,IF17,8593551,68774159,5771126,14386478,83160637,2707316,IF17,2798718,IF17,156788,IF17,81287,IF17,14301,IF17,3632723,IF17,2353062,IF17,230581,IF17,12205,IF17,8840854,IF17,9558146,12/01/2015,09/30/2017,26,2017,03
MN,5863045,R_17,5528630,5528630,129,R_17,227,R_17,8,R_17,556.94,R_17,852.92,R_17,1381.63,R_17,2234.55,R_17,201357059,IF17,7919928,IF17,95707,IF17,21824616,IF17,231197310,IF17,108248145,IF17,36059809,IF17,144307954,IF17,13940510,IF17,6136579,IF17,4410405,IF17,24487494,IF17,57267922,IF17,226063370,IF17,12037000,IF17,52500,IF17,185285,IF17,449746,IF17,12724531,IF17,14705535,IF17,13772728,5230144,R_17,841469,IF17,901329,IF17,1094230,IF17,3602,IF17,976,IF17,6713,R_17,7689,IF17,24942,IF17,739402,R_17,23357139,R_17,3466216,IF17,3859309,R_17,48990201,19488790,IF17,5678283,43311918,6225223,11585905,50834609,1214313,R_17,1228651,IF17,69786,R_17,42840,R_17,7221,R_17,1640764,R_17,1228068,R_17,95577,R_17,5707,R_17,4506872,IF17,6446714,01/01/2017,12/31/2017,27,2017,04
MO,5494417,R_17,5474595,6093000,138,R_17,226,R_17,24,R_17,315.85,R_17,823.86,R_17,2328.67,R_17,3152.53,R_17,239826149,R_17,2230133,R_17,2109085,R_17,17707621,R_17,261872988,R_17,108633185,R_17,32623051,R_17,141256236,R_17,17856396,R_17,11870167,R_17,6462602,R_17,36189165,R_17,59298294,R_17,236743695,R_17,2343224,R_17,75998,R_17,102415,R_17,83936831,R_17,86458468,R_17,32854526,R_17,15706443,4148257,R_17,936229,R_17,1315979,R_17,1263689,R_17,144171,R_17,1231,R_17,1416,R_17,2647,R_17,25584,R_17,897064,R_17,26134084,R_17,2926811,R_17,3229988,R_17,51984663,17157430,R_17,6062482,45928926,6616243,12678725,58607651,440879,R_17,456233,R_17,107343,R_17,59201,R_17,7389,R_17,2558202,R_17,1861540,R_17,137294,R_17,4894,R_17,4892513,R_17,5100815,01/01/2016,10/31/2017,29,2017,04
MP,53883,R_17,53883,53883,1,R_17,2,R_17,0,R_17,2,R_17,6,R_17,12,R_17,18,R_17,636443,R_17,0,R_17,121750,R_17,0,R_17,758193,R_17,438626,R_17,0,R_17,438626,R_17,20000,R_17,5000,R_17,10000,R_17,35000,R_17,251817,R_17,725443,R_17,0,R_17,0,R_17,0,R_17,0,R_17,0,R_17,0,R_17,92141,5000,R_17,272,R_17,0,R_17,2778,R_17,0,R_17,0,R_17,0,R_17,0,R_17,70,R_17,1883,R_17,104224,R_17,1209,R_17,43891,R_17,40634,32000,R_17,150,40484,0,150,40634,0,R_17,0,R_17,30,R_17,20,R_17,10,R_17,5662,R_17,4695,R_17,967,R_17,42,R_17,14279,R_17,2128,10/01/2016,09/30/2017,69,2017,09
MS,3007796,R_17,2969656,2988726,52,R_17,184,R_17,3,R_17,109.9,R_17,635.98,R_17,241.61,R_17,877.59,R_17,37867888,R_17,6739288,R_17,676793,R_17,4980036,R_17,50264005,R_17,25086321,R_17,7959167,R_17,33045488,R_17,2839569,R_17,773416,R_17,679758,R_17,4292743,R_17,11812993,R_17,49151224,R_17,11128,R_17,0,R_17,0,R_17,210566,R_17,221694,R_17,375806,R_17,5484276,625855,R_17,201221,R_17,95320,R_17,377089,R_17,32057,R_17,176,R_17,2496,R_17,2672,R_17,4721,R_17,432520,R_17,8581994,R_17,1422666,R_17,1783947,R_17,7189369,2313651,R_17,215652,6973717,1613042,1828694,8802411,13463,R_17,19181,R_17,27489,R_17,14645,R_17,2211,R_17,706846,R_17,448465,R_17,39511,R_17,2783,R_17,2186748,R_17,2194344,10/01/2016,09/30/2017,28,2017,05
MT,988533,R_17,988533,988533,82,R_17,35,R_17,6,R_17,59.25,R_17,170.82,R_17,197.35,R_17,368.17,R_17,27008134,R_17,568204,R_17,25374,IF17,1347790,R_17,28949502,R_17,14262442,R_17,5105769,R_17,19368211,R_17,1795483,R_17,547170,R_17,523815,R_17,2866468,R_17,5277488,R_17,27512167,R_17,332011,R_17,0,R_17,0,R_17,97172,R_17,429183,R_17,1139230,R_17,2505404,1432327,R_17,114063,R_17,968279,R_17,212876,R_17,7570,R_17,228,R_17,0,R_17,228,R_17,3751,R_17,222142,R_17,4215484,R_17,519168,R_17,432426,R_17,5973370,1998158,R_17,725152,5222071,1321681,2046833,7268904,265008,R_17,256835,R_17,19363,R_17,11278,R_17,2042,R_17,354468,R_17,226542,R_17,19839,R_17,1295,R_17,1153655,IF17,566879,07/01/2016,06/30/2017,30,2017,07
NC,10155942,R_17,10155942,10155942,70,R_17,319,R_17,20,R_17,767.49,R_17,847.09,R_17,2211.94,R_17,3059.03,R_17,209514071,R_17,14796434,R_17,1607567,R_17,10344747,R_17,236262819,R_17,114159149,R_17,43359667,R_17,157518816,R_17,17657727,R_17,5441038,R_17,2856548,R_17,25955313,R_17,42826978,R_17,226301107,R_17,78141200,R_17,0,R_17,151941,R_17,685512,IF17,78978653,IF17,33982744,R_17,15526913,6418337,R_17,666565,R_17,1002503,R_17,844013,R_17,153361,R_17,532,IF17,7114,R_17,7646,IF17,20284,R_17,944993,R_17,32621293,R_17,6979972,IF17,5647452,R_17,49231011,21643347,R_17,4901046,44329965,8595425,13496471,57826436,485075,R_17,397617,R_17,146960,R_17,95352,R_17,11968,R_17,3039798,R_17,2408521,R_17,152748,IF17,7611,R_17,5938721,R_17,4234491,07/01/2016,06/30/2017,37,2017,05
ND,687790,R_17,687790,755393,79,R_17,8,R_17,12,R_17,46.7,IF17,129.64,IF17,114.69,IF17,244.33,IF17,17945735,IF17,1465022,IF17,37375,IF17,1439395,IF17,20887527,IF17,9979958,IF17,2825323,IF17,12805281,IF17,1851364,IF17,594120,IF17,290411,IF17,2735895,IF17,4189994,IF17,19731170,IF17,478891,IF17,97326,IF17,119800,IF17,1246726,IF17,1942743,IF17,1608732,IF17,2226687,888594,R_17,92626,IF17,842205,R_17,133911,IF17,33273,IF17,1653,IF17,560,R_17,2213,R_17,3504,IF17,154818,IF17,2169343,IF17,507494,IF17,273271,IF17,3601895,1345605,IF17,480422,3121151,459844,940265,4061416,55240,IF17,41286,IF17,9733,IF17,6358,IF17,1185,IF17,231343,IF17,170303,IF17,20568,IF17,786,IF17,496970,IF17,1547099,01/01/2017,12/31/2017,38,2017,04
NE,1574606,R_17,1574606,1907116,245,R_17,19,R_17,8,R_17,120.82,IF17,393.25,IF17,404.91,IF17,798.16,IF17,57709602,IF17,550453,IF17,68101,IF17,3045848,IF17,61374004,IF17,29238100,IF17,9809576,IF17,39047676,IF17,4850738,IF17,1821343,IF17,1149597,IF17,7821678,IF17,11473763,IF17,58343117,IF17,15131133,IF17,755509,IF17,0,IF17,1360032,IF17,17246674,IF17,16105182,IF17,5541132,4473071,IF17,235525,IF17,2492581,IF17,370793,IF17,7888,IF17,347,IF17,6125,IF17,6472,IF17,9945,IF17,447443,IF17,7733678,IF17,834872,IF17,1092527,IF17,12397754,5788635,IF17,1284710,11113044,1447040,2731750,13844794,28022,IF17,30381,IF17,35329,IF17,23051,IF17,3700,IF17,860535,IF17,672222,IF17,52875,IF17,2912,IF17,1784914,IF17,1663637,01/01/2016,12/31/2017,31,2017,04
NH,1443959,R_17,1334795,1334795,225,R_17,5,R_17,0,R_17,246.08,IF17,494.05,IF17,351.33,IF17,845.38,IF17,58600679,IF17,11684,IF17,397,IF17,4461711,IF17,63074471,IF17,35798289,IF17,10288879,IF17,46087168,IF17,4080834,IF17,951816,IF17,1081910,IF17,6114560,IF17,9996368,IF17,62198096,IF17,1631468,IF17,10000,IF17,20400,IF17,1622358,IF17,3284226,IF17,2972979,IF17,5672611,4795955,R_17,283311,IF17,3903904,R_17,495017,IF17,47336,R_17,488,IF17,4696,R_17,5184,IF17,10192,IF17,395696,IF17,7028800,IF17,800713,IF17,792348,IF17,10425099,3626126,IF17,1096474,9331382,1737128,2833602,12161854,301972,IF17,291222,IF17,54844,IF17,29961,IF17,3291,IF17,824204,IF17,523454,IF17,33906,IF17,1532,IF17,714227,IF17,439667,07/01/2016,12/31/2017,33,2017,01
NJ,9403702,R_17,8708750,8791894,295,R_17,142,R_17,12,R_17,1337.32,R_17,1401.76,IF17,3180.19,IF17,4581.95,IF17,467818997,IF17,4191479,IF17,241613,IF17,19130733,IF17,491382822,IF17,233949106,IF17,98588067,IF17,332537173,IF17,24959404,IF17,8177258,IF17,7321412,IF17,40458074,IF17,84060148,IF17,457055395,IF17,12967465,IF17,8277,IF17,0,IF17,2174796,IF17,15150538,IF17,11128923,IF17,25711909,6334887,IF17,1588247,IF17,4412242,IF17,2326147,IF17,1031809,IF17,3772,IF17,6490,R_17,10262,IF17,314871,IF17,1184527,IF17,42190832,IF17,6575844,IF17,4161621,IF17,51595544,20507828,IF17,3952052,47643492,5280785,9232835,56870041,2232292,IF17,2301274,IF17,207533,IF17,100341,IF17,19130,R_17,3653867,IF17,2174614,IF17,245543,R_17,8485,IF17,8152125,IF17,6775890,01/01/2017,12/31/2017,34,2017,02
NM,1499356,R_17,1499356,2059179,96,R_17,28,R_17,1,R_17,125.58,R_17,274.35,R_17,401.72,R_17,676.07,R_17,46933342,R_17,1891505,R_17,1172451,R_17,2797592,R_17,52794890,R_17,22819318,R_17,9053693,R_17,31873011,R_17,4219522,R_17,2146404,R_17,1432580,R_17,7798506,R_17,8917333,R_17,48588850,R_17,736973,R_17,272440,R_17,7000,R_17,90411,R_17,1106824,R_17,5319606,R_17,4143329,685363,R_17,208710,R_17,415284,IF17,366369,R_17,58864,IF17,460,R_17,4704,R_17,5164,R_17,6440,R_17,268246,R_17,7036582,R_17,946710,IF17,1108083,R_17,9341083,2662304,R_17,1337123,8003960,6429583,7766706,15770666,12982,R_17,19787,R_17,24352,R_17,14538,R_17,3624,R_17,495315,R_17,346470,R_17,33408,R_17,1787,R_17,1756959,R_17,435202,07/01/2016,06/30/2017,35,2017,06
NV,2952338,R_17,2952338,2953375,20,R_17,64,R_17,3,R_17,184.85,R_17,222.98,R_17,593.85,R_17,816.83,R_17,67766242,R_17,24567081,R_17,1192352,R_17,3647546,R_17,97173221,R_17,43545808,R_17,17932289,R_17,61478097,R_17,5057168,R_17,4282654,R_17,2741310,R_17,12081132,R_17,14301354,R_17,87860583,R_17,1435101,R_17,0,R_17,0,R_17,283360,R_17,1718461,R_17,3054863,R_17,3914625,655320,R_17,300804,R_17,802759,R_17,591473,R_17,62421,R_17,250,R_17,1034,R_17,1284,R_17,5572,R_17,166721,R_17,9684935,R_17,1433221,R_17,1296262,R_17,18414396,6038454,R_17,2387527,16026869,2145043,4532570,20559439,152255,R_17,108841,R_17,33217,R_17,15569,R_17,5995,R_17,675593,R_17,400848,R_17,56668,R_17,1375,R_17,2656299,R_17,1431514,07/01/2016,06/30/2017,32,2017,08
NY,19542753,R_17,19378102,19378102,755,R_17,312,R_17,11,R_17,3668.79,R_17,4434.29,R_17,8388.24,R_17,12822.53,R_17,1175047269,R_17,58476511,R_17,7245771,R_17,185825422,R_17,1426594973,R_17,655508574,R_17,288022084,R_17,943530658,R_17,63422812,R_17,29060593,R_17,15275904,R_17,107759309,R_17,249517550,R_17,1300807517,R_17,17497740,R_17,11137312,R_17,0,R_17,86414059,R_17,115049111,R_17,128773264,R_17,68128577,28445930,R_17,3533454,R_17,6074003,R_17,5319547,R_17,262222,IF17,13917,R_17,12096,R_17,26013,R_17,134686,R_17,2482431,R_17,100012193,R_17,26644064,IF17,10397405,R_17,127222803,41037076,R_17,14396132,112826671,12821640,27217772,140044443,7428069,R_17,7264449,R_17,640908,R_17,270054,R_17,67178,R_17,11121961,R_17,5761758,R_17,901005,R_17,20973,R_17,17700652,R_17,15488574,04/01/2016,12/31/2017,36,2017,02
OH,11510467,R_17,11510467,11510467,239,R_17,477,R_17,56,R_17,1977.23,IF17,2713.12,IF17,6397.8,IF17,9110.92,IF17,369232986,IF17,378391351,IF17,540203,IF17,83326226,IF17,831490766,IF17,358387525,IF17,116970156,IF17,475357681,IF17,45362108,IF17,26603185,IF17,29715225,IF17,101680518,IF17,166620435,IF17,743658634,IF17,55290,IF17,4999,IF17,32300,IF17,10853612,IF17,10946201,IF17,91079371,IF17,39581237,81436463,IF17,3367638,R_17,33758449,IF17,5487048,R_17,3882019,IF17,2806,IF17,18323,R_17,21129,IF17,89994,IF17,1927239,IF17,71895854,IF17,17735110,IF17,8440127,R_17,170442595,52514586,IF17,20205505,150237090,20984771,41189900,191426990,10494552,IF17,10311967,IF17,293693,IF17,186845,IF17,29393,IF17,6820141,IF17,5026856,IF17,531312,IF17,14305,IF17,15131182,IF17,19547124,01/01/2017,12/31/2017,39,2017,03
